	price	sector	street	city	type	room	suite	park	m2
0	669.000	JD GOIAS	RUA 46	Goiania GO	APARTAMENTO	4	3	2	121
4	480.000	JD GOIAS	RUA 54	Goiania GO	APARTAMENTO	4	4	2	119
8	240.000	SETOR BUENO	RUA T 64	Goiania GO	APARTAMENTO	2	1	1	80
9	215.000	JARDIM ATLÂNTICO	RUA CHARITA,DA	Goiania GO	APARTAMENTO	2	1	1	58
10	600.000	SETOR BUENO	AVENIDA T 15	Goiania GO	APARTAMENTO	4	2	2	183
11	170.000	RESID ELI FORTE	RUA DIVA FORTES	Goiania GO	CASA	2	1	2	62
12	350.000	SETOR PEDRO LUDOVICO	ALAMEDA COUTO MAGALHAES	Goiania GO	APARTAMENTO	3	1	1	80
14	445.000	SETOR MARISTA	AVENIDA 136	Goiania GO	APARTAMENTO	3	3	3	158
17	285.000	JARDIM AMÉRICA	RUA C 180	Goiania GO	APARTAMENTO	3	1	2	85
19	260.000	JARDIM AMÉRICA	RUA C 131	Goiania GO	APARTAMENTO	3	1	1	82
20	275.000	VILA JARAGUÁ	RUA 230	Goiania GO	APARTAMENTO	3	1	2	71
22	299.000	JARDIM ATLÂNTICO	RUA RAIA,DA	Goiania GO	CASA	3	2	4	150
23	250.000	SETOR CENTRAL	AVENIDA ARAGUAIA	Goiania GO	APARTAMENTO	3	2	1	141
28	310.000	SETOR LESTE UNIVERSITARIO	RUA 257	Goiania GO	APARTAMENTO	3	1	1	70
29	700.000	SETOR SUL	RUA 88 C	Goiania GO	CASA	6	1	2	365
30	159.900	RESID ITAIPU	RUA RI 10	Goiania GO	CASA	3	1	3	100
31	293.000	JD GUANABARA II	RUA GB 8	Goiania GO	CASA DE CONDOMÍNIO	3	1	2	75
33	750.000	SETOR BUENO	AV.T5	Goiania GO	APARTAMENTO	3	2	3	298
34	330.000	SETOR SUL	RUA 90	Goiania GO	APARTAMENTO	2	1	2	108
37	290.000	SETOR PEDRO LUDOVICO	ALAMEDA COUTO MAGALHAES	Goiania GO	APARTAMENTO	2	1	1	67
38	271.700	PQ AMAZONIA	RUA SALVADOR	Goiania GO	APARTAMENTO	3	1	2	77
39	189.500	JARDIM ATLÂNTICO	AVENIDA LAGUNA	Goiania GO	APARTAMENTO	2	1	1	58
43	385.000	RESID ELDORADO	AV RAVENA	Goiania GO	APARTAMENTO	3	3	2	105
44	890.000	JD GOIAS	RUA 56	Goiania GO	APARTAMENTO	4	4	4	167
45	280.000	JD GOIAS	RUA 32	Goiania GO	APARTAMENTO	3	1	1	75
49	200.000	RESID RECANTO DO BOSQUE	RUA RB 32 A	Goiania GO	CASA	3	1	2	80
54	198.000	SETOR FAICALVILLE	AVENIDA INDEPENDENCIA	Goiania GO	APARTAMENTO	2	1	1	64
55	460.000	PARQUE ANHANGUERA	RUA MAL FLORIANO	Goiania GO	CASA DE CONDOMÍNIO	4	1	2	165
56	170.000	JD PETROPOLIS	ALAMEDA CORCOVADO	Goiania GO	CASA	3	1	2	150
