?	price	sector	street	type	room	suite	park	m2
0	669.000	0	0	0	4	3	2	121
4	480.000	0	1	0	4	4	2	119
8	240.000	1	2	0	2	1	1	80
9	215.000	2	3	0	2	1	1	58
10	600.000	1	4	0	4	2	2	183
11	170.000	3	5	1	2	1	2	62
12	350.000	4	6	0	3	1	1	80
14	445.000	5	7	0	3	3	3	158
17	285.000	6	8	0	3	1	2	85
19	260.000	6	9	0	3	1	1	82
20	275.000	7	10	0	3	1	2	71
22	299.000	2	11	1	3	2	4	150
23	250.000	8	12	0	3	2	1	141
28	310.000	9	13	0	3	1	1	70
29	700.000	10	14	1	6	1	2	365
30	159.900	11	15	1	3	1	3	100
31	293.000	12	16	2	3	1	2	75
33	750.000	1	17	0	3	2	3	298
34	330.000	10	18	0	2	1	2	108
37	290.000	4	6	0	2	1	1	67
38	271.700	13	19	0	3	1	2	77
39	189.500	2	20	0	2	1	1	58
43	385.000	14	21	0	3	3	2	105
44	890.000	0	22	0	4	4	4	167
45	280.000	0	23	0	3	1	1	75
49	200.000	15	24	1	3	1	2	80
54	198.000	16	25	0	2	1	1	64
55	460.000	17	26	2	4	1	2	165
56	170.000	18	27	1	3	1	2	150
58	800.000	19	28	1	6	1	4	352
59	289.000	13	29	0	3	1	2	78
70	363.000	1	30	0	2	2	1	66
71	278.000	20	31	0	3	1	2	90
72	510.000	0	32	0	3	3	2	108
73	457.743	2	33	0	3	1	2	95
74	550.000	1	34	0	3	3	2	150
77	890.000	21	35	2	3	3	2	220
79	5.800.000	22	36	2	4	4	6	600
81	370.000	0	1	0	3	1	2	85
83	250.000	1	34	0	3	1	1	80
85	1.850.000	23	37	0	4	4	3	264
89	250.000	2	38	0	3	1	1	74
94	170.000	24	39	0	3	1	1	84
96	298.000	13	40	0	3	1	1	87
98	670.000	1	41	0	3	3	2	125
101	210.000	13	42	0	3	1	1	64
103	295.000	25	43	0	2	1	1	65
104	480.000	2	44	0	3	3	1	112
107	340.000	4	45	0	3	1	1	100
109	389.000	1	46	0	2	2	1	70
110	395.000	26	47	1	3	2	4	157
112	790.000	1	48	0	3	3	3	177
113	240.000	27	49	1	3	1	3	135
116	350.000	1	50	0	3	1	2	85
117	300.000	0	51	0	2	1	2	74
120	190.000	13	52	0	2	1	1	55
121	350.000	24	53	0	3	1	2	93
122	550.000	1	4	0	4	2	2	160
127	350.000	8	54	0	3	1	1	148
128	236.000	28	55	0	3	3	1	82
129	650.000	29	56	1	4	1	4	300
130	420.000	27	57	1	3	1	4	154
131	275.000	24	58	0	3	1	1	86
134	352.403	30	59	0	4	4	2	111
135	570.000	31	60	1	2	2	2	220
136	620.000	5	61	0	3	3	2	121
137	365.000	4	43	0	3	1	2	78
138	322.000	9	13	0	3	1	1	72
139	330.000	1	62	0	3	1	1	95
140	545.000	1	48	0	3	3	2	103
141	375.000	13	63	0	3	2	2	92
142	381.401	0	22	3	2	1	2	88
143	155.000	32	64	1	3	1	1	60
145	684.000	20	31	0	4	1	1	200
146	249.000	33	65	0	3	1	1	75
147	325.000	34	66	0	2	2	1	92
152	450.000	23	55	0	3	3	2	139
153	795.000	1	67	0	3	3	2	155
154	288.000	1	2	0	3	1	1	87
155	324.000	25	68	0	3	3	2	78
156	270.000	35	25	0	3	1	2	74
157	186.000	33	69	0	2	1	1	59
160	560.000	1	70	0	3	3	2	112
162	179.000	4	71	0	2	1	1	60
163	295.000	4	72	0	2	2	1	69
164	269.300	36	73	2	3	1	2	91
165	165.000	27	74	0	2	1	1	58
166	442.849	0	32	0	3	3	2	108
167	646.000	1	75	0	3	3	2	122
169	420.000	23	76	0	4	1	1	168
170	430.000	17	77	1	4	4	4	180
172	380.000	34	78	0	3	3	2	92
176	354.210	13	79	0	3	3	2	95
177	570.000	23	76	0	3	3	2	113
178	840.000	37	36	2	5	1	4	235
179	400.000	14	21	0	3	3	2	105
181	150.000	38	80	0	2	1	1	54
183	285.000	39	81	0	3	1	2	79
185	238.902	40	82	0	3	1	2	67
186	400.000	23	83	0	2	2	2	89
187	143.200	41	84	0	2	1	1	61
188	550.000	42	85	1	4	2	3	312
191	580.000	25	86	0	4	4	2	116
192	750.000	1	41	0	4	3	3	167
193	490.000	1	87	0	3	3	2	105
194	195.000	2	88	0	2	1	1	61
195	540.000	43	89	1	6	5	3	350
196	300.000	9	90	0	3	1	1	87
197	350.000	2	91	1	3	1	3	120
200	669.000	0	0	0	4	3	2	121
201	236.000	28	55	0	3	3	1	82
204	470.000	1	92	0	3	1	2	87
205	270.000	7	93	0	3	1	2	72
206	310.000	34	94	0	3	1	2	80
207	495.000	2	95	2	3	3	3	165
208	280.000	1	2	0	3	1	2	79
209	425.000	9	96	0	3	2	1	93
210	1.390.000	44	97	2	4	4	3	250
211	400.000	0	1	0	2	1	1	77
212	750.000	1	98	0	3	2	2	162
214	350.000	13	99	2	4	1	2	126
217	1.080.000	45	100	2	4	3	2	240
219	480.000	0	22	0	3	3	2	118
220	495.000	0	32	0	4	1	2	100
221	220.000	13	101	0	2	1	2	59
224	295.000	25	43	0	2	1	1	65
228	360.000	25	102	0	3	1	1	93
230	450.000	46	103	1	3	1	2	200
231	1.500.000	1	104	0	4	4	4	267
232	499.000	2	44	0	3	3	3	123
234	200.000	47	105	0	3	1	1	80
235	270.000	6	106	0	3	1	1	80
236	945.000	5	107	0	3	3	3	160
237	230.000	23	108	0	3	1	1	92
238	850.000	1	4	0	4	3	2	240
242	214.786	48	109	0	2	1	1	57
245	590.000	1	110	0	4	3	2	197
249	255.000	49	111	0	3	3	2	82
250	258.000	1	34	0	3	1	1	80
251	610.000	6	112	0	3	3	2	120
252	300.787	48	113	0	3	3	2	77
253	660.000	23	114	0	3	3	2	132
254	780.000	23	115	0	3	3	2	138
255	320.000	50	36	1	3	1	3	171
257	821.000	1	87	0	3	3	3	153
258	160.000	51	116	1	3	1	2	81
259	262.800	9	117	0	2	1	1	58
261	500.000	0	118	0	3	1	2	100
262	202.000	7	119	0	2	1	1	57
263	1.090.000	23	120	0	3	3	3	168
265	350.000	52	36	1	3	1	3	250
267	170.000	41	84	0	2	1	1	58
268	1.640.000	5	121	0	3	3	3	228
269	1.300.000	53	122	0	3	3	3	170
274	890.000	21	35	2	3	3	2	220
275	5.800.000	22	36	2	4	4	6	600
277	1.260.000	5	123	0	3	3	3	195
282	204.000	54	124	0	2	1	1	60
283	290.000	6	125	0	2	1	1	62
288	250.000	2	126	0	3	1	2	74
289	1.000.000	23	127	0	4	2	4	303
291	320.000	13	128	0	3	3	2	88
292	317.800	1	129	0	2	1	1	73
293	2.200.000	0	130	0	5	5	4	316
294	620.000	5	61	0	3	3	2	121
299	795.000	1	67	0	3	3	2	155
300	460.000	33	131	0	3	1	4	108
301	460.000	17	26	2	4	1	2	165
303	480.000	0	1	0	4	4	2	119
304	195.000	41	132	0	2	1	1	60
305	350.000	55	133	1	3	1	3	115
308	255.000	24	134	0	2	1	1	62
309	178.900	16	25	0	2	1	1	62
312	220.000	39	81	0	2	1	1	64
313	400.000	47	105	0	4	1	1	130
314	315.000	6	135	0	3	1	2	97
316	172.000	56	136	2	3	1	1	180
317	238.000	6	137	0	2	1	1	66
318	650.000	23	138	0	4	2	3	210
319	55.000	40	139	0	2	1	1	62
320	2.200.000	0	140	0	5	5	4	316
323	350.000	8	54	0	3	1	1	148
327	550.000	4	141	0	3	1	2	176
328	790.000	57	142	2	3	3	4	195
329	1.200.000	58	143	2	3	1	3	254
330	350.000	0	0	0	3	1	1	76
331	290.000	2	126	0	3	1	1	74
332	816.000	1	87	0	3	3	2	153
333	396.000	59	144	0	3	1	2	87
334	495.000	1	87	0	3	3	2	106
338	250.000	1	145	0	3	1	2	74
339	2.500.000	60	146	2	4	4	3	400
340	4.500.000	61	147	2	5	5	3	670
342	145.000	62	148	1	2	1	1	60
343	200.000	13	36	0	2	1	1	57
345	750.000	10	149	1	3	2	4	273
346	198.000	16	25	0	2	1	1	64
348	2.300.000	63	150	2	4	2	4	500
350	450.000	23	55	0	3	3	2	139
352	780.000	1	151	0	3	3	2	130
353	330.000	1	152	0	2	1	2	61
354	750.000	0	153	0	3	1	2	111
355	395.000	5	61	0	4	2	1	128
358	446.826	0	32	0	3	2	2	88
359	366.000	13	36	0	3	2	2	88
360	220.000	6	154	0	2	1	1	62
361	160.000	41	84	0	2	1	1	61
362	835.000	5	36	0	3	3	3	149
363	550.000	64	21	0	3	3	2	127
364	250.000	65	155	2	3	1	2	160
365	479.000	1	70	0	3	3	2	106
368	245.000	2	20	0	3	1	2	74
373	840.000	37	36	2	5	1	4	235
374	350.000	66	156	1	3	1	5	230
375	600.000	1	157	0	2	2	2	74
376	640.000	43	158	1	3	3	4	236
377	175.000	67	159	1	3	1	2	85
378	299.000	14	160	0	3	3	2	81
381	399.000	23	161	0	3	1	1	120
383	250.000	68	162	1	3	1	5	190
385	595.000	29	163	2	3	3	4	159
386	245.000	3	164	1	3	1	4	130
389	319.000	23	115	0	3	1	1	72
391	560.000	1	165	0	3	3	2	129
392	280.000	0	120	0	2	2	1	61
393	320.000	8	166	0	2	1	2	65
397	750.000	43	167	1	4	2	6	175
401	335.000	33	168	0	3	1	1	77
403	730.000	1	169	0	4	2	2	144
404	200.000	13	36	0	2	1	1	54
405	158.000	69	170	2	3	1	1	68
406	2.200.000	70	171	2	5	4	6	500
409	360.000	10	172	0	4	1	1	156
411	1.550.000	23	173	0	4	4	3	223
413	395.000	1	174	0	3	1	1	100
414	4.500.000	61	147	2	5	5	4	450
415	730.000	1	165	0	4	4	2	182
416	385.000	0	1	0	2	1	2	74
417	430.000	23	120	0	3	3	2	135
419	450.000	17	175	2	3	1	3	197
423	354.210	13	79	0	3	3	2	95
425	550.000	1	165	0	3	3	2	128
426	220.000	47	176	0	2	1	1	42
427	229.000	28	55	0	3	3	1	82
428	174.600	30	177	0	2	1	1	57
429	200.000	13	36	0	2	1	1	57
433	395.000	71	178	2	3	1	2	125
434	280.000	0	120	0	3	1	1	88
435	226.448	14	179	0	2	1	1	63
436	395.000	6	180	0	3	1	2	107
437	350.000	72	181	1	3	3	5	220
440	1.280.000	73	182	2	3	3	2	294
442	249.000	13	19	0	3	1	2	74
446	310.000	9	13	0	3	1	1	70
448	350.000	49	111	0	3	3	2	99
450	1.180.000	44	183	2	4	4	4	237
451	1.012.000	5	184	0	4	4	2	177
453	231.500	40	82	0	3	1	1	68
454	590.000	74	36	0	3	3	2	111
455	5.000.000	75	185	2	6	6	4	700
456	590.000	0	140	0	3	3	2	113
457	670.000	1	92	0	3	3	2	142
458	595.000	0	140	0	3	2	2	129
459	2.000.000	1	186	0	4	2	4	700
460	667.000	0	22	0	3	3	2	130
462	330.000	25	68	0	3	3	2	78
463	180.000	27	187	1	3	1	2	85
464	160.000	40	188	0	3	1	1	69
465	820.000	6	189	0	4	4	3	310
466	390.000	0	190	0	3	2	2	91
468	417.000	1	50	0	3	3	2	75
470	595.000	0	140	0	3	3	2	109
471	1.270.000	73	191	2	4	4	4	302
472	650.000	43	192	1	4	4	3	190
473	950.000	2	193	2	4	4	3	281
474	290.000	65	194	2	3	1	2	92
478	850.000	1	41	0	3	3	3	140
479	1.490.000	44	195	2	4	4	4	350
482	399.000	76	196	1	4	1	3	200
483	260.000	77	36	0	3	1	2	74
484	1.400.000	5	197	0	4	4	3	206
485	440.000	47	2	0	3	1	1	197
486	340.000	23	36	0	3	1	1	84
487	240.000	24	198	0	3	1	1	92
488	520.000	43	199	2	3	1	4	300
490	375.000	6	200	0	3	3	2	92
491	396.030	1	129	0	2	2	2	89
494	750.000	23	36	0	4	1	2	199
495	189.000	2	3	0	2	1	1	58
498	385.000	78	201	1	3	3	4	160
499	230.000	27	202	1	3	1	4	120
500	224.542	14	179	0	2	1	1	63
501	214.587	40	139	0	2	1	1	58
503	228.074	13	101	0	2	1	1	58
504	485.000	34	203	0	4	2	2	114
507	799.000	5	204	0	3	3	3	150
508	489.000	0	32	0	3	1	2	88
510	246.584	79	205	0	2	1	1	66
515	1.400.000	1	206	0	4	4	3	200
523	298.000	27	207	2	3	1	2	115
527	575.000	2	208	1	3	3	2	203
530	366.000	13	36	0	3	2	2	88
532	950.000	43	209	1	4	1	3	382
535	196.730	14	160	0	2	1	2	64
537	460.000	1	36	0	3	3	2	103
538	520.000	0	210	0	3	3	2	97
539	314.000	1	98	0	2	2	2	66
544	310.000	20	211	0	3	1	1	72
546	690.000	23	55	0	4	2	2	223
547	230.000	79	205	0	2	1	1	67
549	800.000	23	36	0	4	4	3	145
550	375.000	14	71	0	3	3	2	99
553	219.600	13	212	0	3	1	1	70
555	502.000	9	213	0	3	3	2	106
556	1.690.000	5	214	0	4	4	4	261
557	260.000	9	117	0	2	1	1	58
559	210.602	40	139	0	2	1	1	52
560	430.000	29	215	2	3	1	2	142
566	293.064	1	129	0	2	1	2	67
568	860.000	1	129	0	4	3	2	140
569	606.702	80	216	0	3	3	2	117
570	850.000	1	36	0	3	1	3	330
572	199.900	13	217	0	2	1	1	61
573	310.000	13	128	0	3	3	2	85
574	1.590.000	1	104	0	4	4	4	270
577	400.000	14	218	0	3	3	2	105
578	215.000	40	139	0	2	1	1	61
579	210.000	24	219	0	2	1	1	65
582	1.990.000	1	36	0	4	4	5	259
583	1.500.000	0	22	0	4	4	5	269
584	1.600.000	10	220	1	4	4	3	431
585	270.000	81	221	1	3	1	2	110
587	420.000	1	222	0	4	2	2	120
588	1.779.000	0	223	0	4	4	3	283
589	197.000	82	224	0	2	1	1	67
590	304.121	83	225	0	2	1	1	64
591	370.000	0	22	0	3	1	2	88
592	570.000	84	226	1	3	1	4	350
593	420.000	0	227	0	3	1	2	74
594	346.000	0	32	0	3	1	2	88
595	1.259.000	5	214	0	4	4	3	232
596	340.000	23	228	0	2	1	1	76
602	224.000	1	98	0	2	1	1	70
