	id	label
0	180	SETOR ESTRELA DALVA
1	144	VL ALVORADA
2	81	SETOR TRES MARIAS
3	101	CH STA BARBARA
4	42	JD ANA LUCIA
5	285	RESID JOSE VIANDELI
6	197	IPIRANGA
7	37	JDS MADRI
8	190	PQ ELDORADO OESTE
9	132	RESID BRISAS DO CERRADO
10	255	FAMA
11	286	COND JD ARITANA
12	35	FAICALVILLE
13	267	JD ITAIPU
14	281	VL S LUIZ
15	114	VILA JOÃO VAZ
16	222	RESID RECANTO DOS BURITIS
17	161	RECREIO DOS FUNCIONARIOS PUBLICOS
18	159	VL PEDROSO
19	41	SETOR CANDIDA DE MORAIS
20	125	ALPHAVILLE CRUZEIRO
21	224	FAZENDA S DOMINGOS
22	56	PARQUE MARACANÃ
23	254	SANTA GENOVEVA
24	165	RESID GOIANIA GOLFE CLUBE
25	68	JD ARITANA
26	62	CAMPOS DOURADOS
27	250	PANORAMA PARK
28	69	FORTEVILLE
29	9	SETOR LESTE UNIVERSITARIO
30	229	SETOR GARAVELO
31	121	RESID HAVAÍ
32	83	SETOR COIMBRA
33	252	JD NOVA ESPERANCA
34	105	RESID CENTER VILLE
35	194	RESID MONTE VERDE
36	116	SETOR MORADA DO SOL
37	32	RESID STA FÉ
38	278	SETOR STA RITA II
39	120	JD IPE
40	113	RESID PORTO SEGURO
41	176	SETOR ANDREIA
42	84	CRIMEIA OESTE
43	87	PQ OESTE INDUSTRIAL
44	76	RODOVIARIO
45	18	JD PETROPOLIS
46	92	SETOR GOIANIA 2
47	279	RESID MORADA DO IPE
48	201	VL MAUA
49	182	CJ VERA CRUZ
50	109	JD FLORENCA
51	73	JDS VALENCIA
52	55	JD MARILIZA
53	249	VL BELA
54	97	RESID TALISMÃ
55	150	VL LUCY
56	293	JD OLIVEIRAS
57	195	VL CRISTINA
58	58	JDS ATENAS
59	168	PQ ATHENEU
60	277	VILLAGE STA RITA
61	284	VL VIANA
62	272	SETOR RECANTO DAS MINAS GERAIS
63	288	SITIOS STA LUZIA
64	192	STO ANTONIO
65	205	JD NOVO PETROPOLIS
66	196	JD S JUDAS TADEU
67	38	JD BELA VISTA
68	236	VL REZENDE
69	169	CAPUAVA
70	70	RESID GRANVILLE
71	108	RESID LICARDINO NEY
72	72	RESID DOM RAFAEL
73	151	BAIRRO FELIZ
74	130	VL MARIA DILCE
75	14	RESID ELDORADO
76	193	JD STO ANTONIO
77	228	GENTIL MEIRELES
78	11	RESID ITAIPU
