	id	label
0	253	RUA ESMALTE,DO
1	43	RUA 1065
2	509	AV OITIS,DOS
3	536	RUA LAGOSTA,DA
4	1044	RUA 261 A
5	944	RUA 1.141
6	930	RUA 13 C RUA 15 E AV. H QD. C8 LOTES 5–931-34
7	967	AVENIDA C 198
8	282	ALAMEDA ARIES
9	205	RUA ITUMBIARA
10	343	AVENIDA NOSSA SENHORA APARECIDA
11	1240	RUA SERVICO,DE
12	507	RUA 71
13	38	AV. LAGUNA
14	247	RUA C 248
15	1055	RUA T 28 A
16	348	AVENIDA ROMA
17	18	RUA 90
18	512	RUA 145
19	857	RUA MADRI 32
20	1156	RUA R 35
21	1313	RUA PRES LEBRUN
22	784	RUA SAMUEL MORSE
23	408	GO 070
24	19	RUA SALVADOR
25	294	RUA K
26	214	VIELA 1141
27	1400	AVENIDA TUPINAMBAS
28	1052	RUA GLORIA,DA
29	459	RUA 148
30	148	R PARATI
31	327	RESIDENCIAL ALICE BARBOSA
32	167	AVENIDA PEDRO ALVARES CABRAL
33	8	RUA C 180
34	381	RUA RSC 7
35	1091	AVENIDA 4 DE OUTUBRO
36	39	RUA C 83
37	1208	RUA CENTER
38	353	RUA NATAL
39	379	RUA JARDINS FLORENCA
40	1217	RUA 17 A
41	73	R 2
42	16	RUA GB 8
43	1036	R PERIMETRAL 4
44	627	R MDV 22
45	105	RUA S 2
46	404	RUA 11 DE JUNHO
47	904	AVENIDA PROF VENERANDO DE FREITAS BORGES
48	1278	RUA L
49	1414	PRACA ITAPUA
50	1310	RUA 52QD. B-10 LT. 07
51	194	AVENIDA NEW YORK
52	380	R JGO 6
53	433	R A 29
54	76	RUA 11
55	892	RUA MADRI 22
56	561	RUA 15 QD B-25 EM FRENTE PARK FLAMBOYANT
57	957	RUA JC 18 A
58	861	RUA T 54
59	1457	RUA 58 C/RUA 54, QD B-7, LTS. 1/2/17/18/19
60	1001	ALAMEDA LARANJEIRAS,DAS
61	1330	RUA 1034 ESQUINA COM 1036
62	626	TRAVESSA INCA
63	604	RUA PRES CAFE FILHO
64	485	RUA PRINCIPAL
65	872	RUA FL 28
66	1362	AVENIDA ALVICTO OZORIO NOGUEIRA
67	479	AV. RIO BRANCO
68	999	RUA PROF JOVELINO CAMPOS
69	1429	LAGUNA
70	701	RUA C 17
71	797	RUA SAO SIMAO
72	1191	RUA RC 16
73	1212	RUA EUCALIPTOS,DOS
74	1079	RUA GLADIOLO
75	845	C52 QUADRA 55 LOTE 09
76	494	R TULIPAS,DAS
77	121	RUA DOMINGOS PRUDENCIO
78	104	RUA T 53
79	386	PQ FLAMBOYANT
80	234	RUA CUATA
81	687	RUA C 175
82	1011	AVENIDA GUARUJA
83	900	RUA C 236
84	565	R B 4
85	1250	RUA PRES LINCOLN
86	193	RUA BOULEVARD AMENDOEIRAS
87	1317	RUA PRATA
88	914	RUA T - 65
89	58	RUA C 56
90	808	AVENIDA DR JOSE HERMANO
91	1175	AVENIDA ANTONIO MARTINS BORGES
92	1353	AV MARIA CAROLINA
93	306	R LAS VELAS
94	1106	RUA T37, QD. 123, LOTES 13/14
95	530	RUA NAVARRA
96	712	RUA C 89
97	898	AVENIDA DEPUTADO JAMEL CECÍLIO
98	474	RUA 37
99	1254	RUA TRISTAO,DO
100	475	AVENIDA SAO LUIZ
101	1068	RUA SANTAREM
102	347	ALAMEDA SIBIPIRUNAS,DAS
103	1185	RUA MATUPÃ ESQUINA COM ALAMEDA JUAZEIRO DO NORTE
104	506	RUA TUXUA
105	1074	RUA MEXICO
106	1411	RUA BADEJO,DO
107	1162	AL LEOPOLDO DE BULHOES
108	578	RUA 401
109	418	RUA T 48
110	1413	RUA DONA ADELAIDE
111	955	RUA BEM TE VI
112	1235	AV. RIO NEGRO QD. 66 LT. 0102
113	1401	RUA U 25
114	803	T 37 QD 148 LT 15
115	138	AVENIDA REPUBLICA DO LIBANO
116	161	AVENIDA ASSIS CHATEAUBRIAND
117	976	CIDADE JARDIM
118	452	AVENIDA PL 4
119	549	AV. PUERTO DEL  SOL
120	1314	RUA C208
121	1393	R BEIRUTE
122	636	R OLIVEIRAS,DAS
123	1163	RUA SAMIR HELOU
124	1015	ALAMEDA RIO VERMELHO
125	735	AVENIDA C 197
126	733	RUA TAINHA,DA
127	937	AV TORONTO
128	1047	RUA ATUM,DO
129	238	RUA M 1
130	1325	RUA CYLENEO DE ARAUJO
131	1293	RUA BROMELIAS,DAS
132	833	RUA MARIO BITAR
133	303	RUA GARIBALDI
134	1257	AVENIDA D PRAÇA DO RATINHO
135	1315	R ABADE 10
136	806	AVENIDA CENTER
137	1472	RUA VM 4 B
138	977	RUA ITAUNA
139	210	RUA 77
140	615	AV. VITÓRIA ESQ. C/ AV. PADRE ORLANDO DE MORAIS
141	499	PÇA T 23
142	708	RUA C 78
143	1397	RUA T- 66
144	631	RUA JURITI
145	1043	RUA ROCAS,DAS
146	841	AV. ALPHAVILLE ARAGUAIA
147	1296	RUA CONDE MATARAZZO
148	10	RUA 230
149	221	R GUADALQUIVIR
150	1232	RUA W 5
151	1127	RUA MEXILHAO,DO
152	678	RUA 1121
153	60	AVENIDA FLAMBOYANTS,DOS
154	112	RUA C 237
155	1430	RUA AMALIA HERMANO
156	881	R RB 7
